dead,gis_code,name
,12100404,Taba
,12110101,Akarwasa
,12110102,Akasemuromba
,12140803,Nyagacyamo
,12140804,Rugende
,12140805,Ruhanga
,12150101,Gasharu
,12150102,Mulindi
,12150103,Vugavuge
,12150201,Kabarera
,12150202,Kamusengo
,12150203,Karekare
,13050101,Amahoro
,13050102,Antene
,13050103,Bamporeze I
,13050104,Bamporeze Ii
,13050105,Gashyushya
,13050106,Gishikiri
,13050107,Hope
,13050108,Kariyeri
,13050109,Nyarugugu
,13050403,Cyeru
,13050404,Intwari
,13050405,Itunda
,13050406,Kavumu
,13050407,Susuruka
,13050408,Ubumwe
,13050409,Umunara
,13050410,Uwabarezi
,13050411,Zirakamwa
,21030208,Nyabinombe
,21030301,Kabuga
,21030302,Kandihe
,21030303,Karehe
,21030304,Kimiyumbu
,21030305,Nyabinyenga
,21030306,Rugwa
,21030307,Rwamagana
,21030308,Taba
,21030401,Kabyuma
,21050103,Shusho
,21050104,Karama
,21050105,Karambo
,21050106,Kayange
,21050107,Kibaza
,21050108,Kigoma
,21050109,Marongi
,21050110,Mataba
,21050111,Nyesonga
,21050201,Buruba
,23010403,Musebeya
,23010404,Rango
,23010405,Ryabusagara
,23010406,Shwima
,23010501,Bukinga
,23010502,Mirindi
,23010503,Murambi
,23010504,Runyami
,23010505,Rutabo
,23010506,Uwinteko
,23080504,Nyanza
,23080601,Buhunga
,23080602,Kirwa
,23080603,Musumba
,23080604,Yaramba
,23090101,Akanyaru
,23090102,Gasha
,23090103,Mutakwa
,23090104,Nteko
,23090105,Ruli
,23090106,Urugeyo
,12110103,Bucyemba
,12110104,Gasharu
,12110105,Mukagarama
,12110106,Ruhangare
,12110201,Ayabakora
,12110202,Cyaruzinge
,12110203,Gashure
,12110204,Gatare
,12110205,Gisura
,12110206,Karubibi
,12110207,Mulindi
,12110301,Bahoze
,12110302,Berwa
,12110303,Buhoro
,12110304,Burunga
,12110305,Gitaraga
,12110306,Kira
,12110307,Nezerwa
,12110308,Rugazi
,12110309,Runyonza
,12110310,Tumurere
,12110311,Ururembo
,12110401,Byimana
,12110402,Kabeza
,12110403,Masoro
,12110404,Matwari
,12110405,Mubuga
,12110406,Munini
,12110501,Akamusare
,12110502,Akimana
,12110503,Gasharu
,12110504,Jurwe
,12110505,Karambo
,12110506,Kigabiro
,12110507,Ruseno
,12110601,Kacyinyaga
,12110602,Kamahoro
,12110603,Munini
,12110604,Nyakagezi
,12110605,Ruhangare
,12110606,Ruhogo
,12120101,Kanani
,12120102,Kidahe
,12120103,Kigabiro
,12120104,Nyamurambi
,12120105,Nyarubuye
,12120106,Nyura
,12120201,Gatagara
,12120202,Kagarama
,12120203,Nyabitare
,12120204,Nyakabungo
,12120205,Nyarubande
,12120206,Uruhetse
,12120301,Agacyamo
,12120302,Gashinya
,12120303,Gikombe
,12120304,Kazi
,12120305,Kigufi
,12120306,Nyirakibehe
,12120307,Uruhahiro
,12120401,Agasharu
,12120402,Amataba
,12120403,Burungero
,12120404,Karama
,12120405,Nyange
,12120406,Rebero
,12120407,Uruyange
,12120501,Gatobotobo
,12120502,Kibungo
,12120503,Musezero
,12120504,Nyaburoro
,12120505,Taba
,12120601,Bikumba
,12120602,Gakizi
,12120603,Gatare
,12120604,Kamuyange
,12120605,Kigarama
,12120606,Ngara
,12120701,Akazi
,12120702,Kaduha
,12120703,Kamuhoza
,12120704,Mirambi
,12120705,Munini
,12120706,Ndanyoye
,12120707,Nyamigina
,12120708,Rugarama
,12130101,Amarembo I
,12130102,Amarembo Il
,12130103,Gihogere
,12130104,Kagara
,12130105,Kinunga
,12130106,Nyabisindu
,12130107,Rugarama
,12130201,Gishushu
,12130202,Juru
,12130203,Kamahwa
,12130204,Kangondo I
,12130205,Kangondo Ii
,12130206,Kibiraro I
,12130207,Kibiraro Ii
,12130301,Agashyitsi
,12130302,Amajyambere
,12130303,Izuba
,12130304,Gisimenti
,12130305,Ubumwe
,12130306,Ukwezi
,12130307,Urumuri
,12130401,Amahoro
,12130402,Rebero
,12130403,Ruturusu I
,12130404,Ruturusu Ii
,12130405,Ubumwe
,12140101,Bisenga
,12140102,Gakenyeri
