dead,gis_code,name
,361706,Rwinzuki
,361801,Karenge
,361802,Muhehwe
,361803,Mushaka
,361804,Rubugu
,361805,Ruganda
,370101,Buvungira
,370102,Mpumbu
,370103,Ngoma
,370104,Nyarusange
,370202,Impala
,370203,Kagatamu
,370204,Karusimbi
,370301,Bisumo
,370302,Murambi
,370401,Butare
,370402,Gitwa
,370403,Jarama
,370501,Gako
,370502,Mubumbano
,370503,Ninzi
,370504,Rwesero
,370505,Shara
,370601,Kibogora
,370602,Kigarama
,370603,Kigoya
,370604,Raro
,370605,Susa
,370701,Gasovu
,370702,Gitwe
,370703,Kabuga
,370704,Kagarama
,370705,Rushyarara
,370801,Gasayo
,370802,Gashashi
,370803,Higiro
,370804,Miko
,370902,Karengera
,370903,Muhororo
,370904,Nyarusange
,371001,Gatare
,371002,Mutongo
,371003,Nyakabingo
,371004,Rugari
,371005,Vugangoma
,371101,Gisoke
,371102,Kagarama
,371103,Nyagatare
,371104,Nyakavumu
,371201,Kigabiro
,371202,Kinunga
,371203,Mariba
,410406,Mwumba
,410407,Ndarage
,410501,Budakiranya
,430703,Kampanga
,430704,Nyabigoma
,440702,Musasa
,440703,Runoga
,440801,Kabaya
,441102,Gashanje
,441103,Murwa
,452104,Nyabubare
,452105,Shangasha
,510101,Mununu
,520207,Nyakiga
,520301,Kamate
,521101,Gahurura
,521102,Gashenyi
,371204,Muyange
,371205,Ntango
,371301,Banda
,371302,Gakenke
,371303,Jurwe
,371304,Murambi
,371401,Kanazi
,371402,Ntendezi
,371403,Save
,371404,Wimana
,371501,Burimba
,371502,Mataba
,371503,Mugera
,371504,Nyamugari
,371505,Shangi
,410101,Cyohoha
,410102,Gitare
,410103,Rwamahwa
,410201,Butangampundu
,410202,Karengeri
,410203,Taba
,410301,Gasiza
,410302,Giko
,410303,Kayenzi
,410304,Mukoto
,410305,Nyirangarama
,410401,Busoro
,410402,Butare
,410403,Gahororo
,410404,Gitumba
,410405,Karama
,410502,Migendezo
,410503,Rudogo
,410601,Burehe
,410602,Marembo
,410603,Rwili
,410701,Butunzi
,410702,Karegamazi
,410703,Marembo
,410704,Rebero
,410801,Gitatsa
,410802,Kamushenyi
,410803,Kigarama
,410804,Mubuga
,410805,Murama
,410806,Sayo
,410901,Kabuga
,410902,Kigarama
,410903,Kivugiza
,410904,Nyamyumba
,410905,Shengampuli
,411001,Bukoro
,411002,Mushari
,411003,Ngiramazi
,411004,Rurenge
,411101,Bubangu
,411102,Gatwa
,411103,Mugambazi
,411104,Mvuzo
,411201,Kabuga
,411202,Karambo
,411203,Mugote
